session,sha,snap_et,n,n_big,volratio,gap10_all,pass_all,cov_gap_all,rgap10_all,rpass_all,cov_recon_all,gap10_big,pass_big,cov_gap_big,rgap10_big,rpass_big,cov_recon_big,rhits_big,ok,why,snapshots,rejected
2026-04-28,77d2d88c,2026-04-28 18:33,2554,2554,0.9556,0,0,0.0,4,4,0.9977,0,0,0.0,4,4,0.9977,"BBIO,CVLT,OMCL,RVMD",1,,1,0
2026-04-29,3df6b15f,2026-04-29 18:34,2545,2545,1.0445,0,0,0.0,16,16,0.9976,0,0,0.0,16,16,0.9976,"BE,COCO,EAT,FSS,GNRC,ICLR,KALV,NEO,NXPI,PRCH,PRG,RSI,SIMO,STX,VRNS,WERN",1,,1,0
2026-04-30,a550d89d,2026-04-30 18:30,2556,2556,1.1481,0,0,0.0,14,14,0.9977,0,0,0.0,14,14,0.9977,"BAND,DRVN,FMC,GKOS,HTZ,NVCR,PI,PRCT,PWR,QCOM,TTMI,VIAV,VISN,WCC",1,,1,0
2026-05-01,276de351,2026-05-01 18:27,2567,2567,0.9582,0,0,0.0,7,7,0.9969,0,0,0.0,7,7,0.9969,"EL,FIVN,NVT,RDDT,TEAM,TWLO,VEEV",1,,1,0
2026-05-04,b2859d8c,2026-05-04 18:34,2561,2561,0.9853,0,0,0.0,4,4,0.9965,0,0,0.0,4,4,0.9965,"BB,CELC,GBTG,OUST",1,,1,0
2026-05-05,7394cf20,2026-05-05 18:32,2572,2572,1.0251,0,0,0.0,15,15,0.9965,0,0,0.0,15,15,0.9965,"ABEV,CYTK,DOCN,EWTX,FLY,FTRE,GPK,IART,PAY,PINS,ROK,SHLS,STRL,VRDN,WAT",1,,1,0
2026-05-06,a501e4b0,2026-05-06 18:26,2570,2570,1.2456,0,0,0.0,21,20,0.9969,0,0,0.0,21,20,0.9969,"ACLS,ADNT,AMD,ARM,BRKR,COMP,FLEX,FLYW,GEO,GLW,HUT,IFF,MNKD,NBIX,RIOT,SMCI,SSRM,TBLA,VCYT,VECO",1,,1,0
2026-05-07,4d1d15de,2026-05-07 18:37,2563,2563,1.1941,0,0,0.0,31,31,0.9969,0,0,0.0,31,31,0.9969,"AAON,ACVA,AGL,ARRY,BLBD,DDOG,DGII,EZPW,FLNC,FOUR,FTNT,GENI,HIMX,JMIA,KLIC,MIDD,MTSI,PCT,PGY,PTC,PTON,RUN,RXO,SEZL,SITM,SNEX,VCEL,VERX,VYX,WRBY,XMTR",1,,1,0
2026-05-08,d7fc8ac7,2026-05-08 18:32,2564,2564,1.0747,0,0,0.0,13,13,0.9957,0,0,0.0,13,13,0.9957,"AAOI,AKAM,AMN,FLNC,FROG,INOD,IREN,LASR,MNST,MRVI,PGNY,PTCT,WSC",1,,1,0
2026-05-11,ae9724ae,2026-05-11 18:34,2566,2566,1.1138,0,0,0.0,7,7,0.9957,0,0,0.0,7,7,0.9957,"BW,DXYZ,INBX,IX,MNDY,POET,WYFI",1,,1,0
2026-05-12,b15bb22b,2026-05-12 18:42,2569,2569,1.0625,0,0,0.0,12,11,0.9953,0,0,0.0,12,11,0.9953,"AMBQ,ARMK,HLIT,PACS,QUBT,RAL,SE,VPG,VSTS,WEN,ZBRA",1,,1,0
2026-05-13,76f37ea4,2026-05-13 18:47,2565,2565,1.0824,0,0,0.0,8,8,0.9953,0,0,0.0,8,8,0.9953,"EOSE,NBIS,NXT,PENG,SLS,TSEM,VNET,WOLF",1,,1,0
2026-05-14,e119fd3b,2026-05-14 18:37,2563,2563,0.9973,0,0,0.0,13,12,0.9961,0,0,0.0,13,12,0.9961,"ARX,CPA,CSCO,DDS,KLAR,ONDS,PCT,PGEN,POET,STAA,STUB,YETI",1,,1,0
2026-05-15,534e7e90,2026-05-15 18:31,2546,2546,1.0194,0,0,0.0,4,3,0.9969,0,0,0.0,4,3,0.9969,"FIG,MICC,PZZA",1,,1,0
2026-05-18,f29c4697,2026-05-18 18:33,2549,2549,0.9725,0,0,0.0,6,5,0.9957,0,0,0.0,6,5,0.9957,"BIO,CMPS,D,RAMP,TE",1,,1,0
2026-05-19,d9c87ac7,2026-05-19 18:46,2538,2538,0.9642,0,0,0.0,2,1,0.9961,0,0,0.0,2,1,0.9961,AGYS,1,,1,0
2026-05-20,5f5c410f,2026-05-20 18:54,2552,2552,0.9576,0,0,0.0,3,2,0.9965,0,0,0.0,3,2,0.9965,"CAVA,IMVT",1,,1,0
2026-05-21,8a9fe121,2026-05-21 18:50,2559,2559,0.9646,0,0,0.0,10,9,0.9957,0,0,0.0,10,9,0.9957,"AAP,BIRK,GFS,INFQ,NBIS,QBTS,RGTI,RL,RLAY",1,,1,0
2026-05-22,a26dba4c,2026-05-25 18:36,2559,2559,0.9063,0,0,0.0,5,5,0.9965,0,0,0.0,5,5,0.9965,"EL,HLIT,IMAX,SG,ZM",1,,4,0
2026-05-26,138098bf,2026-05-26 18:51,2562,2562,1.011,0,0,0.0,12,12,0.9965,0,0,0.0,12,12,0.9965,"BRAI,ESLT,HLIT,JOYY,LUNR,MOD,PONY,POWI,RDW,UMC,VICR,WOLF",1,,1,0
2026-05-27,2987c4a5,2026-05-27 18:59,2562,2562,0.9752,0,0,0.0,4,4,0.9969,0,0,0.0,4,4,0.9969,"DY,QFIN,RDW,UMC",1,,1,0
2026-05-28,bc35f26a,2026-05-28 18:54,2573,2573,1.0041,0,0,0.0,12,12,0.9969,0,0,0.0,12,12,0.9969,"A,AVAV,CRSR,DLTR,DOO,HEI,KSS,KTOS,NBIS,RCAT,SNOW,UMAC",1,,1,0
2026-05-29,847dd0c9,2026-05-29 18:53,2575,2575,1.3541,0,0,0.0,10,10,0.9969,0,0,0.0,10,10,0.9969,"ASAN,CHA,DELL,HPE,NTAP,NXT,OKTA,PENG,QURE,TEO",1,,1,0
2026-06-01,aefea0ac,2026-06-01 19:13,2577,2577,1.072,0,0,0.0,8,8,0.9965,0,0,0.0,8,8,0.9965,"ARM,EWTX,FLNC,MGM,PURR,SAIC,TMHC,TNDM",1,,1,0
2026-06-02,98597eee,2026-06-02 19:17,2572,2572,0.9987,0,0,0.0,6,6,0.9961,0,0,0.0,6,6,0.9961,"CAMT,HPE,MRVL,RLAY,STM,VSXY",1,,1,0
2026-06-03,37bec791,2026-06-03 19:18,2561,2561,0.9808,0,0,0.0,5,5,0.9957,0,0,0.0,5,5,0.9957,"ABVX,GME,HBNB,NN,NVTS",1,,1,0
2026-06-04,776f93ae,2026-06-04 18:53,2574,2574,0.9271,0,0,0.0,1,1,0.9946,0,0,0.0,1,1,0.9946,RUM,1,,1,0
2026-06-05,af0b2554,2026-06-05 18:44,2551,2551,1.0233,0,0,0.0,2,2,0.9949,0,0,0.0,2,2,0.9949,"GIII,TTAN",1,,1,0
2026-06-08,56ad6340,2026-06-08 18:59,200,200,0.9383,0,0,0.0,0,0,0.995,0,0,0.0,0,0,0.995,,0,stub snapshot (200 rows),1,1
2026-06-09,c596b01e,2026-06-09 19:01,2555,2555,1.0662,0,0,0.0,4,3,0.9949,0,0,0.0,4,3,0.9949,"APLD,CHRN,NUVL",1,,1,0
2026-06-10,138de249,2026-06-10 19:09,2569,2569,0.943,0,0,0.0,2,1,0.9946,0,0,0.0,2,1,0.9946,PLBL,1,,1,0
2026-06-11,e4162fbf,2026-06-11 19:07,2579,2579,0.9939,0,0,0.0,2,2,0.9961,0,0,0.0,2,2,0.9961,"ELVN,NAVN",1,,1,0
2026-06-12,19cbd77d,2026-06-12 18:59,2578,2578,0.9267,0,0,0.0,0,0,0.9957,0,0,0.0,0,0,0.9957,,1,,1,0
2026-06-15,80f6b9c1,2026-06-15 19:19,2580,2580,1.0197,0,0,0.0,7,5,0.9961,0,0,0.0,7,5,0.9961,"AXTI,HMY,HYMC,SBSW,STX",1,,1,0
2026-06-16,f433ce04,2026-06-16 19:06,2579,2579,0.9677,0,0,0.0,3,3,0.9957,0,0,0.0,3,3,0.9957,"EOSE,PURR,RXT",1,,1,0
2026-06-17,8c58faaf,2026-06-17 19:02,2575,2575,1.0433,0,0,0.0,3,3,0.9961,0,0,0.0,3,3,0.9961,"BRAI,LZB,QURE",1,,1,0
2026-06-18,ade90683,2026-06-19 18:32,2586,2586,1.5938,0,0,0.0,5,4,0.9961,0,0,0.0,5,4,0.9961,"BFLY,QS,RUM,UUUU",1,,2,0
2026-06-22,80b42d47,2026-06-22 19:03,2559,2559,1.0005,0,0,0.0,8,8,0.9961,0,0,0.0,8,8,0.9961,"APGE,AXTI,BWIN,DFTX,HQ,ORKA,PENG,UMC",1,,1,0
2026-06-23,e6b65f5f,2026-06-23 18:49,2585,2585,0.951,0,0,0.0,0,0,0.995,0,0,0.0,0,0,0.995,,1,,1,0
2026-06-24,9a7f264c,2026-06-24 18:49,2592,2592,1.0255,0,0,0.0,4,4,0.995,0,0,0.0,4,4,0.995,"ABSI,FCEL,RUN,WEN",1,,1,0
2026-06-25,552e929d,2026-06-25 18:57,2588,2588,0.9539,0,0,0.0,9,8,0.9954,0,0,0.0,9,8,0.9954,"AYI,BB,MU,QCOM,SNDK,STX,TECH,WDC",1,,1,0
2026-06-26,31f983ef,2026-06-26 18:47,3000,1397,1.7107,0,0,0.0,14,9,0.9847,0,0,0.0,1,1,0.9943,ACAD,1,,1,0
2026-06-29,cf376f0d,2026-06-29 18:37,3000,1402,0.9588,0,0,0.0,18,12,0.9857,0,0,0.0,5,5,0.9957,"CHTR,CMCSA,IRDM,LBRDA,LBRDK",1,,1,0
2026-06-30,1541fad4,2026-06-30 18:52,3000,1402,0.9421,0,0,0.0,20,17,0.985,0,0,0.0,3,3,0.9943,"ABVX,AVAV,ENPH",1,,1,0
2026-07-01,a21a8a0e,2026-07-01 18:49,3000,1408,0.9276,0,0,0.0,14,10,0.985,0,0,0.0,0,0,0.9943,,1,,1,0
2026-07-02,29e708f5,2026-07-03 18:37,3000,1407,0.9345,0,0,0.0,11,5,0.9477,0,0,0.0,0,0,0.9588,,1,,2,0
2026-07-06,9d18282a,2026-07-06 18:46,3000,1412,0.8368,0,0,0.0,15,10,0.9847,0,0,0.0,0,0,0.995,,1,,1,0
2026-07-07,56087215,2026-07-07 18:39,3000,1407,0.8544,0,0,0.0,11,8,0.9843,0,0,0.0,2,2,0.9957,"CRNX,DOCN",1,,1,0
2026-07-08,ee18c9e8,2026-07-08 18:35,3000,1400,0.8384,0,0,0.0,8,6,0.9847,0,0,0.0,1,1,0.9957,KC,1,,1,0
2026-07-09,81984167,2026-07-09 18:51,3000,1405,0.7597,0,0,0.0,10,7,0.9853,0,0,0.0,3,2,0.9957,"AEHR,ALNY",1,,1,0
2026-07-10,d2f24153,2026-07-10 18:33,3000,1397,0.7257,0,0,0.0,18,16,0.921,0,0,0.0,3,3,0.9298,"CCC,CRCL,EQPT",1,,1,0
2026-07-13,5aeba26f,2026-07-13 18:30,3000,1393,0.7904,0,0,0.0,9,8,0.9853,0,0,0.0,1,1,0.9964,BRAI,1,,1,0
2026-07-14,6d370746,2026-07-14 18:32,3000,1393,0.9589,0,0,0.0,8,5,0.845,0,0,0.0,2,2,0.8629,"CLSK,FCEL",0,reconstruction inputs missing (cov 0.845),1,1
2026-07-15,18a6e0f9,2026-07-15 18:32,3000,1394,304.0244,0,0,0.0,1,0,0.0077,0,0,0.0,0,0,0.0086,,0,payload not a completed session (volratio 304.0244),1,1
2026-07-16,27f7484f,2026-07-16 18:31,3000,1391,173.1831,0,0,0.0,0,0,0.0113,0,0,0.0,0,0,0.0144,,0,payload not a completed session (volratio 173.1831),1,1
2026-07-17,1e847668,2026-07-17 18:25,3000,1390,76.9977,0,0,0.0,0,0,0.0097,0,0,0.0,0,0,0.0122,,0,payload not a completed session (volratio 76.9977),1,1
2026-07-20,9e710956,2026-07-20 18:31,3000,1385,216.5428,0,0,0.0,0,0,0.0097,0,0,0.0,0,0,0.0116,,0,payload not a completed session (volratio 216.5428),1,1
2026-07-21,82426a77,2026-07-21 18:29,3000,1391,204.3184,0,0,0.0,0,0,0.009,0,0,0.0,0,0,0.0101,,0,payload not a completed session (volratio 204.3184),1,1
2026-07-22,f1425c07,2026-07-22 18:36,3000,1387,86.7808,0,0,0.0,1,1,0.0093,0,0,0.0,0,0,0.0115,,0,payload not a completed session (volratio 86.7808),1,1
2026-07-23,5e0e376f,2026-07-23 18:32,3000,1381,232.8721,0,0,0.0,1,1,0.0093,0,0,0.0,1,1,0.0109,AALG,0,payload not a completed session (volratio 232.8721),1,1
2026-07-24,c911bd33,2026-07-26 15:25,3000,1384,0.8804,0,0,0.0,10,6,0.9867,0,0,0.0,0,0,0.9957,,1,,2,1
2026-07-27,b639cd70,2026-07-27 18:35,3000,1390,0.9841,0,0,0.0,17,11,0.9873,0,0,0.0,1,1,0.9971,FBRX,1,,1,0
2026-07-28,96f04e64,2026-07-28 18:35,3000,1390,1.1975,0,0,0.0,14,10,0.95,0,0,0.0,1,1,0.9583,IQV,1,,1,0
2026-07-29,202edbaa,2026-07-29 18:31,3000,1384,1.1908,0,0,0.0,15,11,0.9883,0,0,0.0,4,4,0.9978,"AVTR,BRAI,CBZ,HURN",1,,1,0
2026-07-30,a0b478ca,2026-07-30 18:38,3000,1385,1.1219,0,0,0.0,37,33,0.9877,0,0,0.0,23,22,0.9971,"ACMR,ALAB,AMAT,ARM,AVY,AXTI,BAX,BE,BHE,CIFR,COHU,CORT,CRWV,EME,FIX,FORM,GKOS,HUT,IDCC,INIO,IREN,KEEL",1,,1,0
2026-07-31,aaf5d979,2026-07-31 18:34,3000,1381,1.0694,0,0,0.0,25,23,0.987,0,0,0.0,10,10,0.9971,"AAOI,AMZN,AXTI,BE,BSBR,CDNA,COHR,COHU,FLNC,IESC",1,,1,0
2026-08-03,5f761c06,2026-08-03 18:34,3000,1390,1.0366,0,0,0.0,19,14,0.989,0,0,0.0,3,3,0.9986,"ATKR,BOW,CNH",1,,1,0
2026-08-04,a1c880b4,2026-08-04 18:37,3000,1396,1.1645,0,0,0.0,26,22,0.9893,0,0,0.0,11,11,0.9979,"AAOI,AEIS,AMRC,BLZE,BTDR,CAT,COHR,CTOS,FN,INSP,LIFE",1,,1,0
2026-08-05,a9900d9e,2026-08-05 18:36,3000,1395,1.075,0,0,0.0,27,23,0.989,0,0,0.0,9,9,0.9978,"AMPX,ANET,APPS,BLMN,CRL,DT,FTK,KMT,KTOS",1,,1,0
2026-08-06,69754ed3,2026-08-06 21:03,3000,1392,1.0243,0,0,0.0,34,30,0.988,0,0,0.0,12,12,0.9964,"AEVA,ALNT,ARHS,CAI,CDRE,CLOV,CRON,EHC,FA,HRTG,INSM,IOVA",1,,1,0
2026-08-07,0b7dfe1c,2026-08-10 05:31,5618,2611,0.0026,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,0,payload not a completed session (volratio 0.0026),4,4
2026-08-11,9c4a98e1,2026-08-11 18:20,5619,2600,0.9184,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,0,reconstruction inputs missing (cov 0.0),1,1
2026-08-12,dbc76760,2026-08-12 21:50,5625,2609,0.9256,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,0,reconstruction inputs missing (cov 0.0),3,3
2026-08-13,d9a45b1f,2026-08-13 18:20,5626,2606,0.9657,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,0,reconstruction inputs missing (cov 0.0),1,1
2026-08-14,38144f5a,2026-08-16 23:38,5614,2608,0.7943,0,0,0.0,43,36,0.9881,0,0,0.0,8,8,0.9965,"BRUN,ETON,HTFL,LPTH,NU,RCAT,RDDT,UMAC",1,,6,3
2026-08-17,422e9270,2026-08-17 23:37,5619,2604,0.8725,0,0,0.0,28,24,0.9665,0,0,0.0,2,2,0.9946,"MESO,NNNN",1,,1,0
2026-08-18,05cf2a1c,2026-08-18 17:50,5621,2597,0.944,0,0,0.0,20,17,0.9119,0,0,0.0,2,2,0.9426,"AMLX,HAE",1,,3,1
2026-08-19,0be2eca8,2026-08-19 23:11,5622,2605,1.0425,0,0,0.0,30,28,0.9861,0,0,0.0,10,10,0.9946,"BNTX,CNL,DRD,EL,KC,MRNA,MRVI,MRVL,TEM,TWST",1,,2,0
2026-08-20,6e14f94c,2026-08-20 17:55,5625,2597,0.9418,0,0,0.0,28,20,0.9609,0,0,0.0,2,2,0.9931,"BULL,SCSC",1,,1,0
2026-08-21,759d8c72,2026-08-21 17:51,5627,2602,0.939,0,0,0.0,22,18,0.9572,0,0,0.0,0,0,0.9831,,1,,1,0
2026-08-24,7a03f223,2026-08-25 00:31,5622,2604,0.8732,0,0,0.0,22,20,0.9852,0,0,0.0,1,1,0.995,NSSC,1,,1,0
2026-08-25,9dd00a00,2026-08-25 23:36,5624,2615,0.9035,0,0,0.0,21,17,0.9394,0,0,0.0,2,2,0.948,"IMTX,MAIR",1,,1,0
2026-08-26,4b5ecc29,2026-08-26 21:00,5624,2612,0.8749,0,0,0.0,26,19,0.936,0,0,0.0,2,2,0.9636,"ANF,SMMT",1,,1,0
2026-08-27,03761dc8,2026-08-28 01:36,5630,2612,0.9592,0,0,0.0,25,19,0.9508,0,0,0.0,5,4,0.9587,"CRM,CRWD,OKTA,VEEV",1,,3,0
2026-08-28,be6e5388,2026-08-30 13:45,5623,2607,0.9108,0,0,0.0,14,12,0.9876,0,0,0.0,5,5,0.9954,"AFRM,AIIR,ESTC,GAP,SOLS",1,,3,0
2026-08-31,ff4bd441,2026-08-31 20:46,5626,2605,1.0833,0,0,0.0,27,22,0.9376,0,0,0.0,2,1,0.9608,SAIC,1,,1,0
2026-09-01,f7b62b87,2026-09-01 19:32,5628,2595,1.011,0,0,0.0,14,11,0.9279,0,0,0.0,0,0,0.9576,,1,,1,0
2026-09-02,15535a6e,2026-09-02 19:32,5629,2601,0.966,0,0,0.0,22,17,0.9648,0,0,0.0,3,2,0.9942,"EOSE,GTLB",1,,1,0
2026-09-03,b3aa4091,2026-09-04 02:12,5630,2604,1.016,0,0,0.0,24,20,0.9867,0,0,0.0,4,4,0.9954,"HCM,NTSK,SID,SNOW",1,,1,0
2026-09-04,fff81d00,2026-09-08 02:10,5610,2582,0.8934,0,0,0.0,20,16,0.9643,0,0,0.0,1,1,0.9977,IOT,1,,3,0
2026-09-08,da17febb,2026-09-08 18:19,5613,2596,1.1006,0,0,0.0,20,16,0.9457,0,0,0.0,3,3,0.9969,"PHVS,ROIV,SEI",1,,1,0
2026-09-09,0d0acf76,2026-09-09 18:19,5614,2589,1.037,0,0,0.0,16,12,0.9418,0,0,0.0,2,2,0.9965,"INNV,SIG",1,,1,0
2026-09-10,96f8bfd8,2026-09-10 18:41,5616,2587,1.0182,0,0,0.0,16,11,0.946,0,0,0.0,0,0,0.9973,,1,,1,0
2026-09-11,8c76c744,2026-09-11 22:19,5617,2583,0.9721,0,0,0.0,20,13,0.9664,0,0,0.0,1,1,0.9981,ACVA,1,,1,0
2026-09-14,f09a9c8e,2026-09-14 17:18,5608,2577,1.0412,0,0,0.0,16,13,0.9511,0,0,0.0,1,1,0.9973,DFTX,1,,1,0
2026-09-15,88295474,2026-09-15 18:58,5609,2572,1.0465,0,0,0.0,18,15,0.9454,0,0,0.0,0,0,0.9953,,1,,1,0
2026-09-16,27883a92,2026-09-16 19:03,5611,2566,1.1036,0,0,0.0,19,17,0.9444,0,0,0.0,1,1,0.9984,LUXE,1,,1,0
2026-09-17,fa77725b,2026-09-17 18:55,5615,2571,1.0938,0,0,0.0,24,21,0.9485,0,0,0.0,4,4,0.9981,"GNRC,INIO,MGNI,VICR",1,,1,0
2026-09-18,7295e7aa,2026-09-18 19:13,5618,2567,1.8953,23,16,0.9445,23,17,0.9445,0,0,0.9969,0,0,0.9969,,1,,1,0
